SaunaName, URL, SiteKey, SeatsPerSession, SessionsOnMonday, SessionsOnTuesday, SessionsOnWednesday, SessionsOnThursday, SessionsOnFriday, SessionsOnSaturday, SessionsOnSunday
Wilder Sauna, https://www.wildersauna.com/dartmeet, wilder, 8, 9, 10, 11, 12, 13, 14, 15
The Somewhere Sauna Bantham, "https://thesomewheresaunabantham.as.me/schedule/565c488f/appointment/80187225/calendar/12357716?locations=The+Somewhere+Sauna+%28Bantham%29%2C+The+Field+of+Dreams%2C+Bantham+Lane%2C+Bantham%2C+Kingsbridge+TQ7+3AA", acuity,,,,,,,,
